yday,s1,s2,s3,s4,s5,s6,v1,v2,v3,v4,v5,v6,wday
288,10003,10003,10019,10010,10003,10003,87,31,5,24,75,78,6
289,10003,10001,10019,10019,10002,10003,60,24,10,23,57,57,0
290,10017,10014,10036,10001,10019,10003,55,11,8,37,38,48,1
291,10036,10011,10014,10019,10012,10003,42,15,8,29,33,59,2
292,10003,10012,10001,10036,10012,10003,70,18,8,20,46,71,3
293,10003,10003,10007,10001,10003,10012,94,16,4,25,44,64,4
294,10003,10011,10017,10017,10001,10003,67,23,7,39,53,71,5
295,10003,10003,10003,10019,10003,10003,129,51,9,17,71,66,6
296,10009,10003,10014,10003,10011,10003,90,33,10,17,38,39,0
297,10003,10011,10020,10017,10019,10003,29,13,3,29,27,51,1
298,10017,10002,10001,10019,10003,10003,62,15,9,24,36,61,2
299,10003,10003,10001,10017,10019,10003,67,20,5,26,33,56,3
300,10009,10001,10010,10019,10003,10012,119,19,6,33,49,52,4
301,10003,10002,10065,10036,10003,10003,64,26,7,24,42,49,5
302,10003,10002,10007,10023,10003,10003,88,32,6,20,43,62,6
303,10003,10019,10019,10019,10011,10010,46,37,6,14,41,66,0
304,10009,10009,10010,10001,10019,10001,89,12,9,32,45,51,1
305,10009,83,10023,10003,10011,10012,59,15,9,32,37,73,2
306,10003,10009,10003,10018,10003,10036,45,22,8,65,50,63,3
307,10003,10003,10001,10018,10018,10019,46,16,7,26,44,49,4
308,10011,10011,83,10011,10012,10003,48,26,10,22,34,66,5
309,10003,10011,83,10011,10003,10001,67,27,6,22,52,48,6
310,10003,10001,10009,10001,10021,10036,56,38,11,14,56,31,0
311,10009,10012,10001,10001,10012,10003,28,10,4,20,25,28,1
312,10017,10017,10019,10001,10003,10011,49,39,3,19,32,29,2
313,10003,10003,10009,10001,10011,10003,52,17,8,32,34,54,3
314,10003,10001,10001,10001,10001,10023,121,23,12,31,41,36,4
315,10003,10009,83,10019,10001,10019,64,15,8,25,37,34,5
316,10003,10003,10003,10001,10011,10003,73,29,7,17,53,42,6
317,10003,10014,10019,10023,10001,10016,59,27,6,17,38,36,0
318,10001,10014,10019,10019,10019,10019,43,12,5,66,51,40,1
319,10017,10023,10003,10019,10019,10019,81,22,7,51,43,46,2
320,10012,10002,10003,10019,10019,10019,36,28,7,22,57,27,3
321,10019,10019,10019,10019,10003,10012,99,41,13,30,31,39,4
322,10003,10019,10019,10012,10003,10003,53,25,8,23,34,36,5
323,10003,10003,83,10019,10019,10003,50,22,11,22,40,32,6
324,10003,10002,10002,10019,10002,10011,49,39,8,15,50,27,0
325,10033,10003,10020,10001,10036,10001,51,11,25,23,25,44,1
326,10013,10001,10001,10001,10013,10003,75,66,19,32,47,27,2
327,10001,10001,10020,10001,10001,10001,37,19,9,32,30,33,3
328,10024,10019,10019,10019,10019,10019,33,18,20,111,74,25,4
329,10036,10036,10036,10022,10036,10036,76,49,16,15,26,33,5
330,10003,10003,10038,10019,10001,10019,33,23,5,10,26,27,6
331,10003,10002,10019,10036,83,10003,61,23,8,10,24,19,0
332,10003,10036,10020,10019,10003,10003,20,10,7,27,28,35,1
333,10003,10019,10036,10001,10001,10016,28,6,7,12,26,15,2
334,10003,10012,10022,10010,10003,10023,36,13,15,37,31,23,3
335,10003,10003,10003,10001,10019,10003,54,18,26,20,30,39,4
336,10003,10001,10003,10003,10013,10002,41,17,12,26,33,24,5
337,10003,10019,10002,10019,10003,10003,48,21,13,10,25,33,6
338,10002,10003,10003,10003,10003,10003,38,23,8,12,32,22,0
339,10003,10025,10025,10001,10001,10022,17,15,9,15,21,20,1
340,10019,10019,10010,10010,10013,10003,31,12,3,13,19,26,2
341,10003,10001,10003,10001,10003,10001,27,11,5,13,25,17,3
342,10012,10011,10020,10001,10001,10003,31,11,5,21,22,32,4
343,10003,10019,10001,10001,10003,10003,34,11,8,13,19,23,5
344,10012,10014,10003,10012,10003,10003,33,20,6,11,24,27,6
345,10036,10019,10019,10017,10012,10011,34,35,7,8,30,22,0
346,10011,10036,10003,10011,10022,10003,15,12,5,20,21,20,1
347,10003,10012,83,10003,10003,10003,26,7,5,13,23,23,2
348,10003,10003,10019,10011,10001,10003,30,13,5,14,17,19,3
349,10036,10036,10003,10036,10003,10019,26,17,6,15,17,24,4
350,10036,10003,10003,10036,10022,10036,35,21,4,12,20,22,5
351,10019,10019,10011,83,10003,10001,54,28,7,8,19,18,6
352,10003,10022,10003,10020,10003,10003,33,17,9,5,25,21,0
353,10003,10003,10003,10012,10003,10003,25,12,7,12,31,26,1
354,10003,10128,10003,10023,10002,10003,29,52,6,16,16,20,2
355,10003,10002,10013,10036,10036,10003,19,10,5,13,18,21,3
356,10003,10003,10020,10002,10001,10036,29,6,5,12,18,24,4
357,10003,10019,10013,10003,10002,10002,18,8,8,15,19,16,5
358,10012,10002,10019,10020,10001,10013,22,11,4,5,8,8,6
359,10001,10001,10007,10002,10003,10001,15,10,7,5,19,79,0
360,10001,10011,10012,10012,10012,10018,52,27,13,25,13,19,1
361,10036,10012,10011,10018,10019,10022,17,7,5,11,11,15,2
362,10001,10011,10065,10019,10036,10003,29,9,4,14,19,22,3
363,10003,10019,10019,10036,10022,10022,25,11,5,7,17,15,4
